Latitude,Longitude,Depth/Km,Magnitude,Magnitude Category
42.8123,13.1763,10.3,2.8,Low
42.8148,13.1697,9.4,2.9,Low
42.8022,13.2648,10.7,2.2,Low
42.5837,13.2723,10.8,2.0,Low
42.6167,13.305,9.0,2.3,Low
42.7917,13.2352,7.1,2.1,Low
42.6378,13.2173,13.7,2.4,Low
42.7522,13.2088,9.8,2.1,Low
42.8368,13.2242,9.2,2.1,Low
42.6997,13.2462,10.8,2.1,Low
42.6132,13.2522,10.7,3.2,Low
42.6003,13.2823,7.5,4.4,Moderate
42.7693,13.1258,10.7,2.7,Low
42.7342,13.1623,8.7,2.2,Low
42.6852,13.2048,10.8,2.0,Low
42.623000000000005,13.2915,7.2,2.8,Low
